,name,url,author,publisher,date,price,rank,comments,quote
32,乡土中国,https://book.douban.com/subject/1795079/,费孝通,上海人民出版社,2006-04-01,38.00,9.2,73469人评价,中国乡土社会传统文化和社会结构理论研究代表作
33,肖申克的救赎,https://book.douban.com/subject/1829226/,[美] 斯蒂芬·金,人民文学出版社,2006-7,29.90元,9.1,112590人评价,豆瓣电影Top1原著
34,霍乱时期的爱情,https://book.douban.com/subject/10594787/,[哥伦比亚] 加西亚·马尔克斯,南海出版公司,2012-9-1,39.50元,9.0,259191人评价,义无反顾地直达爱情的核心
35,东方快车谋杀案,https://book.douban.com/subject/1827374/,[英] 阿加莎·克里斯蒂,人民文学出版社,2006-5,18.00元,9.1,128040人评价,谋杀诡计惊人，波洛的抉择耐人寻味
36,基督山伯爵,https://book.douban.com/subject/1085860/,[法国] 大仲马,上海译文出版社,1991-12-1,43.90元,9.1,122329人评价,一个报恩复仇的故事，以法国波旁王朝和七月王朝为背景
37,江城,https://book.douban.com/subject/7060185/,[美] 彼得·海斯勒,上海译文出版社,2012-1,36.00元,9.1,55596人评价,外国人眼中的涪陵
38,彷徨,https://book.douban.com/subject/1449348/,鲁迅,人民文学出版社,1973-3,0.37元,9.2,55730人评价,路漫漫其修远兮，吾将上下而求索
39,我与地坛,https://book.douban.com/subject/1209899/,史铁生,春风文艺出版社,2002-5,25.00元,9.2,90525人评价,这是你的罪孽与福祉
40,月亮和六便士,https://book.douban.com/subject/1858513/,[英] 毛姆,上海译文出版社,2006-8,15.00元,9.0,192440人评价,有多少人会经历顿悟，就有更少的人甘愿自我放逐
41,献给阿尔吉侬的花束,https://book.douban.com/subject/26362836/,[美] 丹尼尔·凯斯,广西师范大学出版社,2015-4,36.00元,9.1,77924人评价,当声称能改造智能的科学实验选中心智障碍主角
42,万历十五年,https://book.douban.com/subject/1041482/,[美] 黄仁宇,生活·读书·新知三联书店,1997-5,18.00元,9.0,185872人评价,见微知著，历史观的颠覆
43,城南旧事,https://book.douban.com/subject/1254588/,林海音 文,中国青年出版社,2003-7,16.00元,9.1,141219人评价,长亭外，古道边，芳草碧连天
44,罗杰疑案,https://book.douban.com/subject/21371175/,[英] 阿加莎·克里斯蒂,新星出版社,2013-3,28.00元,9.2,55530人评价, 
45,艺术的故事,https://book.douban.com/subject/3162991/,[英] 贡布里希 (Sir E.H.Gombrich),广西美术出版社,2008-04,280.00,9.5,23359人评价,从最早的洞窟绘画到当今的实验艺术
46,许三观卖血记,https://book.douban.com/subject/4760224/,余华,作家出版社,2012-9,24.00元,9.1,121608人评价, 
47,追风筝的人,https://book.douban.com/subject/1770782/,[美] 卡勒德·胡赛尼,上海人民出版社,2006-5,29.00元,8.9,760224人评价,为你，千千万万遍
48,卡拉马佐夫兄弟,https://book.douban.com/subject/1856494/,[俄] 费奥多尔·陀思妥耶夫斯基,上海译文出版社,2006-8,25.00元,9.5,26038人评价,错综复杂的社会、家庭矛盾和人性悲剧
49,射雕英雄传,https://book.douban.com/subject/1044547/,金庸,生活·读书·新知三联书店,1999-04,47.00元,9.1,79401人评价,侠之大者，为国为民
50,刀锋,https://book.douban.com/subject/2035162/,[英]毛姆,上海译文出版社,2007-3,18.00元,9.0,81249人评价,一把刀的锋刃不容易越过；因此智者说得救之道是困难的
51,故事新编,https://book.douban.com/subject/2046909/,鲁迅,人民文学出版社,1973-12-01,0.31 元,9.4,34880人评价,拾取古代传说，取一点因由，随意点染
52,寻路中国,https://book.douban.com/subject/5414391/,[美] 彼得·海斯勒,上海译文出版社,2011-1,33.00元,9.0,52470人评价,《纽约客》驻北京记者驾车漫游中国大陆的经历
53,朝花夕拾,https://book.douban.com/subject/1449352/,鲁迅,人民文学出版社,1973-4,0.25元,9.0,137360人评价,在纷扰中寻出一点闲静
54,格林童话全集,https://book.douban.com/subject/1043008/,[德国]格林兄弟,人民文学出版社,1994-11,21.45元,9.0,88815人评价,一本有教育意义的书
55,树上的男爵,https://book.douban.com/subject/6789605/,[意] 伊塔洛·卡尔维诺,译林出版社,2012-4-1,30.00元,9.1,48160人评价,是不是真的只有先与人疏离，才能最终与他们在一起？
56,无人生还,https://book.douban.com/subject/3006581/,[英] 阿加莎・克里斯蒂,人民文学出版社,2008-3,19.00,9.0,134706人评价,童谣杀人案
57,嫌疑人X的献身,https://book.douban.com/subject/3211779/,[日] 东野圭吾,南海出版公司,2008-9,28.00,8.9,495028人评价,数学好是一种极致的浪漫
58,中国少年儿童百科全书（全四册）,https://book.douban.com/subject/1028409/,林崇德 主编,浙江教育出版社,1991-4,168.00元,9.4,15639人评价, 
59,黄金时代,https://book.douban.com/subject/1089243/,王小波,花城出版社,1999-3,19.00元,8.9,156734人评价,我想爱，想吃，还想在一瞬间变成天上半明半暗的云
60,史记（全十册）,https://book.douban.com/subject/1077847/,司马迁,中华书局,1982-11,125.00,9.5,22724人评价,史家之绝唱，无韵之离骚
61,傲慢与偏见,https://book.douban.com/subject/1083428/,[英] 奥斯丁,人民文学出版社,1993-7,13.00元,8.9,221982人评价,所有现代言情小说的母体
62,厌女,https://book.douban.com/subject/25836270/,上野千鹤子,上海三联书店,2015-1,28.00元,9.1,54976人评价, 
63,鼠疫,https://book.douban.com/subject/24257229/,[法] 阿尔贝·加缪,上海译文出版社,2013-8,34.00元,9.1,62336人评价,用别样的监禁生活再现某种监禁生活，与用不存在的事表现真事同等合理
64,悲惨世界（上中下）,https://book.douban.com/subject/1205054/,[法] 雨果,人民文学出版社,1992-6,66.00元,9.0,60209人评价,现实主义与浪漫主义的至高杰作
65,历史深处的忧虑,https://book.douban.com/subject/1027191/,林达,生活·读书·新知三联书店,1997-5,19.00元,9.0,43389人评价,窥见美国社会的一扇窗
66,诗经,https://book.douban.com/subject/1883245/,孔丘 编订,北京出版社,2006-7,19.90元,9.5,25924人评价,思无邪
67,神雕侠侣,https://book.douban.com/subject/1255624/,金庸,生活·读书·新知三联书店,1994-5,76.80元,8.9,95659人评价,至情至性，情大于武
